ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
C. DOLORES,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.142704,19.434374,"19.434374,-99.142704",9m,WIFI GRATUITO_ACTIVO,SI
C. LOPEZ,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.14188,19.434242,"19.434242,-99.14188",9m,WIFI GRATUITO_ACTIVO,SI
C. DOLORES,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.142696,19.433091,"19.433091,-99.142696",9m,WIFI GRATUITO_ACTIVO,SI
C. LORETO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.127634,19.434369,"19.434369,-99.127634",9m,WIFI GRATUITO_ACTIVO,SI
EJE 1 PTE. CALZ. VALLEJO,PORVENIR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.14477,19.469535,"19.469535,-99.14477",9m,WIFI GRATUITO_ACTIVO,SI
C. RIO DE LA LAJA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.159368,19.548879,"19.548879,-99.159368",9m,WIFI GRATUITO_ACTIVO,SI
C. BAJADA DEL CERRITO,COCOYOTES,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,-99.133984,19.548495,"19.548495,-99.133984",9m,WIFI GRATUITO_ACTIVO,SI
C. LA FAMA,BARRIO LA FAMA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.177819,19.289396,"19.289396,-99.177819",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CDA. RIO NILO Y AV. DE LAS TORRES,LOMAS DE SAN LORENZO,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,-99.065136,19.325193,"19.325193,-99.065136",9m,WIFI GRATUITO_ACTIVO,SI
AV. HOSPITAL BENITO JUAREZ,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.137419,19.480917,"19.480917,-99.137419",9m,WIFI GRATUITO_ACTIVO,SI
AV. ETEN,LINDAVISTA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.13841,19.491938,"19.491938,-99.13841",9m,WIFI GRATUITO_ACTIVO,SI
C. MORELOS,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.149421,19.551242,"19.551242,-99.149421",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. YUCATAN Y C. SONORA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.147554,19.554919,"19.554919,-99.147554",9m,WIFI GRATUITO_ACTIVO,SI
C. ISABEL RODRIGUEZ ALDERETE,U.H SN JUAN DE ARAGON 7A SEC.,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.075953,19.476693,"19.476693,-99.075953",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. BALDERAS Y 2DA. CALLE DE REVILLAGIGEDO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.14669,19.432782,"19.432782,-99.14669",9m,WIFI GRATUITO_ACTIVO,SI
AV. HENRY FORD,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.122196,19.471477,"19.471477,-99.122196",9m,WIFI GRATUITO_ACTIVO,SI
EJE 1 ORIENTE F. C HIDALGO,ARAGÓN LA VILLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.109968,19.477943,"19.477943,-99.109968",9m,WIFI GRATUITO_ACTIVO,SI
AV. INSURGENTES SUR,GUADALUPE INN,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.184849,19.355981,"19.355981,-99.184849",9m,WIFI GRATUITO_ACTIVO,SI
